Date,Region,Streams_norm
2017-09-20,AT,
2017-09-21,AT,
2017-09-22,AT,0.015082494626105029
2017-09-23,AT,0.012607893101010246
2017-09-24,AT,0.010135664156476433
2017-09-25,AT,0.01196729634954755
2017-09-26,AT,0.011507015720718798
2017-09-27,AT,0.011568702815304093
2017-09-28,AT,0.011789352807474578
2017-09-29,AT,0.012316065692010573
2017-09-30,AT,0.01064814155764659
2017-10-01,AT,0.008420288410892993
2017-10-02,AT,0.010161762542647137
2017-10-03,AT,0.011314836695279988
2017-10-04,AT,0.012671952776156514
2017-10-05,AT,0.011917472157767117
2017-10-06,AT,0.01371351564242364
2017-10-07,AT,0.012702796323449164
2017-10-08,AT,0.010788123810743995
2017-10-09,AT,0.013103762438253591
2017-10-10,AT,0.013063428568717051
2017-10-11,AT,0.01263636406774192
2017-10-12,AT,0.013421688233423967
2017-10-13,AT,0.013798928542618666
2017-10-14,AT,0.012586539875961488
2017-10-15,AT,0.00981062061962314
2017-10-16,AT,0.012399106011644626
2017-10-17,AT,0.01159717378203577
2017-10-18,AT,0.012543833425863975
2017-10-19,AT,0.011711057648962471
2017-10-20,AT,0.012465538267351868
2017-10-21,AT,0.012263868919669168
2017-10-22,AT,0.01065525929932951
2017-10-23,AT,0.01179884312971847
2017-10-24,AT,0.012389615689400734
2017-10-25,AT,0.01375384951196018
2017-10-26,AT,0.011632762490450364
2017-10-27,AT,0.012230652791815547
2017-10-28,AT,0.01087353671093902
2017-10-29,AT,0.009993309322818058
2017-10-30,AT,0.010764398005134264
2017-10-31,AT,0.011096559283670478
2017-11-01,AT,0.006640852990163282
2017-11-02,AT,0.007827143270649756
2017-11-03,AT,0.007274331999943059
2017-11-04,AT,0.006401222353505013
2017-11-05,AT,0.005789096568773994
2017-11-06,AT,0.0059741578525298825
2017-11-07,AT,0.00607617881665172
2017-11-08,AT,0.006171082039090638
2017-11-09,AT,0.006187690103017448
2017-11-10,AT,0.006401222353505013
2017-11-11,AT,0.006190062683578421
2017-11-12,AT,0.004439098229580386
2017-11-13,AT,0.005364404648359835
2017-11-14,AT,0.005404738517896375
2017-11-15,AT,0.005248148200872161
2017-11-16,AT,0.005188833686847838
2017-11-17,AT,0.005651486896237562
2017-11-18,AT,0.004671611124555735
2017-11-19,AT,0.0036703821278251504
2017-11-20,AT,0.004375038554434116
2017-11-21,AT,0.004538746613141249
2017-11-22,AT,0.005010890144774866
2017-11-23,AT,0.004818711119336057
2017-11-24,AT,0.004614669191092384
2017-11-25,AT,0.00437029339331217
2017-11-26,AT,0.0031626498877769397
2017-11-27,AT,0.004004915986922336
2017-11-28,AT,0.0038032466392396358
2017-11-29,AT,0.0038008740586786627
2017-11-30,AT,0.003767657930825042
2017-12-01,AT,0.004363175651629251
2017-12-02,AT,
2017-12-03,AT,
2017-12-04,AT,0.003807991800361582
2017-12-05,AT,0.0038388353476542297
2017-12-06,AT,0.004106936951044173
2017-12-07,AT,
2017-12-08,AT,
2017-12-09,AT,
2017-12-10,AT,
2017-12-11,AT,
2017-12-12,AT,
2017-12-13,AT,
2017-12-14,AT,
2017-12-15,AT,
2017-12-16,AT,
2017-12-17,AT,
2017-12-18,AT,
2017-12-19,AT,
2017-12-20,AT,
2017-12-21,AT,
2017-12-22,AT,
2017-12-23,AT,
2017-12-24,AT,
2017-12-25,AT,
2017-12-26,AT,
2017-12-27,AT,
2017-12-28,AT,
2017-12-29,AT,
2017-12-30,AT,
2017-12-31,AT,
2018-01-01,AT,
2018-01-02,AT,
2018-01-03,AT,
2018-01-04,AT,
2018-01-05,AT,
2018-01-06,AT,
2018-01-07,AT,
2018-01-08,AT,
2018-01-09,AT,
2018-01-10,AT,
2018-01-11,AT,
2018-01-12,AT,
2018-01-13,AT,
2018-01-14,AT,
2018-01-15,AT,
2018-01-16,AT,
2018-01-17,AT,
2018-01-18,AT,
2018-01-19,AT,
2018-01-20,AT,
2018-01-21,AT,
2018-01-22,AT,
2018-01-23,AT,
2018-01-24,AT,
2018-01-25,AT,
2018-01-26,AT,
2018-01-27,AT,
2018-01-28,AT,
2018-01-29,AT,
2018-01-30,AT,
2018-01-31,AT,
2018-02-01,AT,
2018-02-02,AT,
2018-02-03,AT,
2018-02-04,AT,
2018-02-05,AT,
2018-02-06,AT,
2018-02-07,AT,
2018-02-08,AT,
2018-02-09,AT,
2018-02-10,AT,
2018-02-11,AT,
2018-02-12,AT,
2018-02-13,AT,
2018-02-14,AT,
2018-02-15,AT,
2018-02-16,AT,
2018-02-17,AT,
2018-02-18,AT,
2018-02-19,AT,
2018-02-20,AT,
2018-02-21,AT,
2018-02-22,AT,
2018-02-23,AT,
2018-02-24,AT,
2018-02-25,AT,
2018-02-26,AT,
2018-02-27,AT,
2018-02-28,AT,
2018-03-01,AT,
2018-03-02,AT,
2018-03-03,AT,
2018-03-04,AT,
2018-03-05,AT,
2018-03-06,AT,
2018-03-07,AT,
2018-03-08,AT,
2018-03-09,AT,
2018-03-10,AT,
2018-03-11,AT,
2018-03-12,AT,
2018-03-13,AT,
